Site,ALB.17,AUS.18,AUS.18a,AUT.70,BGR.66,BRA.53,BRA.53a,BWA.19,CAN.22,CAN.22a,CAN.22b,CAN.22c,CHE.67,CHN.64,CIV.13,COL.2,CZE.23,DEU.27,DNK.71_RA,DNK.71_RD,DNK.71_RL,ECU.14,ECU.14a,ESP.75,ETH.24,FIN.25,GEO.59,GHA.4,HRV.68,HUN.61,IND.11,IRL.69,IRN.12,ISL.28,ISR.29,ITA.30,KAZ.6,KEN.72,KHM.21,LKA.40,LUX.32,LVA.31,MDA.65,MKD.62,MLT.63,MYS.54,NGA.50,NLD.43,NOR.34,NPL.33,NZL.56,PAK.7,PER.35,POL.36,SEN.8,SGP.52,SRB.37,SVK.9,SVN.38,SWE.41,SWE.41a,TGO.44,TUR.46,TZA.15,USA.74,USA.74a,USA.74b,USA.74c,USA.74d,USA.74e,USA.74f,USA.74g,USA.74h,USA.74i,VNM.48,XK.60,ZAF.39,ZMB.49,ZMB.49b
Country,ALB,AUS,AUS,AUT,BGR,BRA,BRA,BWA,CAN,CAN,CAN,CAN,CHE,CHN,CIV,COL,CZE,DEU,DNK,DNK,DNK,ECU,ECU,ESP,ETH,FIN,GEO,GHA,HRV,HUN,IND,IRL,IRN,ISL,ISR,ITA,KAZ,KEN,KHM,LKA,LUX,LVA,MDA,MKD,MLT,MYS,NGA,NLD,NOR,NPL,NZL,PAK,PER,POL,SEN,SGP,SRB,SVK,SVN,SWE,SWE,TGO,TUR,TZA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,VNM,XK.,ZAF,ZMB,ZMB
Country Full,Albania,Australia,Australia,Austria,Bulgaria,Brasil,Brasil,Botswana,Canada,Canada,Canada,Canada,Switzerland,China,COTE DIVOIRE,Colombia,Czech Republic,Germany,Denmark,Denmark,Denmark,Ecuador ,Ecuador ,Spain,Ethiopia,Finland,Georgia,Ghana,Croatia,Hungary,India,Ireland,Iran,Iceland,Israel,Italy,Kazakhstan,Kenya,Cambodia ,Sri Lanka,Luxembourg,Latvia,Republic of Moldova,Republic of Macedonia,Malta,Malaysia,Nigeria,The Netherlands,Norway,Nepal,New Zealand,Pakistan,Peru,Poland,Senegal,Singapore,Serbia,Slovak Republic,Slovenia,Sweden,Sweden,Togo,Turkey,Tanzania,USA,USA,USA,USA  ,USA,USA  ,USA  ,USA  ,USA  ,USA  ,Vietnam,Kosovo,South Africa,Zambia,Zambia
Continent,Europe,Oceania,Oceania,Europe,Europe,South America,South America,Africa,North America,North America,North America,North America,Europe,Asia,Africa,South America,Europe,Europe,Europe,Europe,Europe,South America,South America,Europe,Africa,Europe,Asia,Africa,Europe,Europe,Asia,Europe,Middle East,Europe,Middle East,Europe,Asia,Africa,Asia,Asia,Europe,Europe,Europe,Europe,Europe,Asia,Africa,Europe,Europe,Asia,Oceania,Asia,South America,Europe,Africa,Asia,Europe,Europe,Europe,Europe,Europe,Africa,Europe,Africa,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Asia,Europe,Africa,Africa,Africa
lnu(A),0.075448885,0,0,0,0.500073377,0,0,0,0.349730054,0,0.183088802,0,0,0,0.876191467,0,0,0.185634407,0,0,0,0,0,0,0.356086248,0.169475942,0.0715436,0,0.173657073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181507904,0,0,0,0,0,4.448562301,0,0.194422371,1.277583234,0.268067214,0,0,5.218603759,0,0,0,0,0,0,0.103157016,0.659602285,0.470622748,0,0,0.285651989,0,0,0.129249348,0.116832617,0,0,0.240297526,0,0,0
lnu(B),1.869893634,1.185161665,2.142200729,8.118536925,3.577017402,0.906524844,20.39443413,5.45194255,37.84131388,20.7096141,36.92791828,19.94402868,8.490349706,8.39870727,18.85511727,27.27129346,173.884475,42.7527123,9.680724347,13.49395909,8.240956029,0.36018621,12.81537814,24.73571754,3.44393864,13.62510685,0.562204555,33.92643899,19.94464446,29.01082487,4.036106977,2.529651297,4.61709386,0.418344435,4.052739288,1.911214204,6.036060543,5.911333241,109.0714083,1.175901788,4.482045296,20.85096454,4.554601511,22.71151512,5.792503414,2.816222465,26.14425043,5.731811485,1.164853059,28.12304731,0.657092563,64.75570773,8.494975089,64.16808934,1.767098362,4.050940662,11.56660684,10.59668517,33.78759349,17.44753866,1.774616653,39.90941521,0.93916931,1.558902668,21.53059997,3.318944008,12.99226082,16.61605812,9.496862772,12.66261542,13.11045002,11.71925057,29.8734026,24.14999851,1.253805937,12.34663035,34.56853426,2.391453181,0.935976706
lnu(C),0.814847957,0.360935598,1.159817768,2.579961932,0.81830189,2.355865776,3.231756598,2.066231156,2.918656273,1.004102502,7.070556642,3.149410589,0.973439025,10.65745051,3.441042852,8.557025688,1.538749853,2.733888546,1.32411311,0.900717568,1.134348339,0,18.26647096,3.964815969,0.233074635,0.499183682,0.070242807,2.119413904,0.681998688,5.890076564,2.622246472,0.625247145,4.604820883,0.226497593,2.194210362,0.258689599,1.265035562,0.790706678,30.23070091,0.152795966,0.89402626,4.064042544,1.24448585,3.742362967,1.618654587,17.81541433,12.45035413,4.025881679,0.630667919,6.005559106,0.082098278,32.45086118,19.23343487,9.21176428,0.93593352,11.15689902,2.758926183,0.57371952,5.500716641,1.006970698,0.640535034,12.09376218,0.108959903,0.405125736,3.885657099,1.694241894,4.402696798,6.616537083,5.889624648,5.141789293,5.70781729,7.740860939,5.850127755,7.845090426,0.479172893,1.887427842,3.642011668,1.942149856,0.369791288
lnu(D),0.074077087,0.240623732,0.579908884,0,0.081830189,0.883449666,8.887330644,1.180703518,8.927654482,1.506153753,1.797599146,1.124789496,0,1.705192082,3.096938567,5.536898974,0.279772701,0.911296182,0,0.10007973,0,0,3.398413201,0.969177237,0.815761223,0.332789122,0,0.706471301,0,8.835114846,1.311123236,0,0.263132622,0,0.877684145,0,1.265035562,1.468455259,7.801471203,0,0.127718037,0.677340424,0.138276206,0.356415521,1.112825029,0.962995369,2.89026078,1.761323234,0,1.091919837,0,7.062834492,6.898949466,4.211092242,0.436768976,4.005040676,0.788264624,2.486117922,1.023389142,1.150823655,0.106755839,12.09376218,0.326879708,0.101281434,11.98077605,0.15402199,2.277256965,3.656507335,0.560916633,1.645372574,1.756251474,2.791785913,0.114708387,0.871676714,0.179689835,0,1.821005834,0.298792286,0.369791288
lnu(F),0.401476183,1.014308068,1.047645612,0.17262519,0.098554607,0.354669574,51.08593344,9.954106301,4.238881427,0.604660266,0.39691514,0.270934696,0.976991722,4.620821609,5.802050357,23.03673296,0.505428784,2.414602293,0.299012769,0.120533981,0.136618596,0,38.88330433,1.59171444,3.087813598,0.901809937,0,53.60415459,0.718712121,3.546943916,0.157909003,0,0.39613944,0.136394536,2.642662115,0.311560466,0.380895744,1.768577502,51.28613141,0.046006085,0.307641987,1.019718704,0.541245367,0.697546799,1.340263721,0.79737071,13.52223355,1.515215504,0,0.328771484,0,16.55286521,6.42055516,0.950953768,1.20236715,2.584065608,0.07911415,1.036464097,0.616274484,0.779641025,0.257149101,4.952263201,0.13122908,0.426934512,0.194991916,0.834754218,1.005649973,1.258235058,0.281481887,1.238533187,1.982993794,2.751029914,0.828914624,1.399772825,0.360691274,0.21311058,1.279356289,0.449824153,1.01445177
lsa(A),0.024494428,0,0.038350688,0,0,0,0,0,0.056769808,0,0.039626434,0,0,0,0.056890989,0.166439849,0.046255006,0,0,0,0,0,0.140465475,0.029133584,0.038534384,0,0.023226579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08446283,0.11198514,0.182890372,0.058926414,0,0.159212661,0,0,0,0,0,0.063119086,0,0,0,0,0.173765749,0,0.042299401,0.095133218,0,0,0,0,0,0.356503805,0,0,0.061824479,0,0,0.04196071,0,0.096076592,0,0,0,0.049399526,0
lsa(B),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139938123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsa(C),0.049585068,0.040266649,0,0.287825368,0,3.498854914,0.270405598,0.197582232,0.172382157,0.672117293,0.280760921,0.075290169,0.054299337,0,0.633417117,0.505396458,0.093635894,0.243998166,0.055395199,0.033495244,0.075930011,0,1.421749945,0.117952605,0.039003362,0,0.047018512,0,0,0,0.043881406,0.029894459,0.088066699,0.151610965,0.293748243,0,0,0.037805448,0,0,0.042745388,0.226696085,0.046279055,0.029821785,0,0.201437926,0.520869278,0.084212789,0.042215094,0.548174766,0,1.533294479,1.259443107,0.088086995,0.125297388,0.765959677,0.131910409,0,0.299699407,0.240727565,0.071459284,0,0,0.067794875,0.216745579,0,0.203244029,0.291376273,0.219019172,0.10325297,0.073474009,0.382242493,0.230347472,0.097245881,0.020046533,0.197404661,0.507887023,0.150002212,0.041254606
mcr-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408899984,0.021202224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144835533,0,0,0,0,0,0.09187095,0,0,0,0.068841417,0,0,0,0,0,0,0,0,0,0,0,0,0.022496656,0,0,0.030537279,0,0,0.144136231,0,0,0,0.009887468
mecA_clust1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044884597,0,0.047009588,0.051561655,0,0.015366073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023057111,0,0,0,0,0,0,0,0,0,0.030371126
